rank,O score,matrix,c1,m1,c2,m2
1,2.021805699710887,"         114       99
363 7.00E+01 1.01E+02
381 8.73E+01 9.41E+01",114,381,99,363
2,2.0202889248036766,"         114      128
363 7.00E+01 1.01E+02
381 8.73E+01 9.48E+01",114,381,128,363
3,2.0197644197550333,"         114      128
363 7.00E+01 1.01E+02
384 8.73E+01 9.51E+01",114,384,128,363
4,2.0195679338546726,"         114       99
363 7.00E+01 1.01E+02
384 8.73E+01 9.55E+01",114,384,99,363
5,2.019453338705008,"         101      114
363 9.52E+01 7.00E+01
381 8.97E+01 8.73E+01",101,363,114,381
6,2.019382141818275,"         114       79
363 7.00E+01 1.09E+02
390 8.63E+01 1.01E+02",114,390,79,363
7,2.019170286831011,"         114       99
305 8.04E+01 8.84E+01
363 7.00E+01 1.01E+02",114,305,99,363
8,2.019165041503954,"         114      128
366 7.01E+01 1.00E+02
381 8.73E+01 9.48E+01",114,381,128,366
9,2.019038789313565,"         114       79
363 7.00E+01 1.09E+02
383 8.62E+01 1.01E+02",114,383,79,363
10,2.0187469935819755,"         114       99
297 8.36E+01 9.21E+01
363 7.00E+01 1.01E+02",114,297,99,363
11,2.018655490570547,"         114      128
366 7.01E+01 1.00E+02
384 8.73E+01 9.51E+01",114,384,128,366
12,2.0185927068502743,"         114      128
363 7.00E+01 1.01E+02
390 8.63E+01 9.48E+01",114,390,128,363
13,2.0185804058548236,"         114       99
363 7.00E+01 1.01E+02
383 8.62E+01 9.50E+01",114,383,99,363
14,2.0185208303845896,"         114      128
305 8.04E+01 8.85E+01
363 7.00E+01 1.01E+02",114,305,128,363
15,2.018349438444363,"         114      128
297 8.36E+01 9.21E+01
363 7.00E+01 1.01E+02",114,297,128,363
16,2.01828468371297,"         114       99
363 7.00E+01 1.01E+02
398 8.59E+01 9.49E+01",114,398,99,363
17,2.018021878975336,"         114       99
363 7.00E+01 1.01E+02
390 8.63E+01 9.55E+01",114,390,99,363
18,2.0178761829235956,"         114       79
297 8.36E+01 9.92E+01
363 7.00E+01 1.09E+02",114,297,79,363
19,2.017663439163032,"         114       99
363 7.00E+01 1.01E+02
397 8.46E+01 9.39E+01",114,397,99,363
20,2.0176073670266916,"         101      114
261 9.87E+01 7.36E+01
381 8.97E+01 8.73E+01",101,261,114,381
21,2.017518387509271,"         114      128
366 7.01E+01 1.00E+02
390 8.63E+01 9.48E+01",114,390,128,366
22,2.017454297706185,"         114      128
305 8.04E+01 8.85E+01
366 7.01E+01 1.00E+02",114,305,128,366
23,2.0174005702024163,"         114       79
363 7.00E+01 1.09E+02
391 8.49E+01 1.01E+02",114,391,79,363
24,2.017362909325143,"         114      128
363 7.00E+01 1.01E+02
383 8.62E+01 9.56E+01",114,383,128,363
25,2.0172842065151446,"         114      128
297 8.36E+01 9.21E+01
366 7.01E+01 1.00E+02",114,297,128,366
26,2.0172417635201554,"         101      114
363 9.52E+01 7.00E+01
390 9.02E+01 8.63E+01",101,363,114,390
27,2.0171193185462277,"         114      128
363 7.00E+01 1.01E+02
398 8.59E+01 9.55E+01",114,398,128,363
28,2.0169353719865653,"         101      114
363 9.52E+01 7.00E+01
384 9.14E+01 8.73E+01",101,363,114,384
29,2.0168246615833127,"         114      128
261 7.36E+01 1.04E+02
381 8.73E+01 9.48E+01",114,381,128,261
30,2.0168043838196827,"         114       79
363 7.00E+01 1.09E+02
381 8.73E+01 1.04E+02",114,381,79,363
31,2.016786284862502,"         101      114
366 9.34E+01 7.01E+01
381 8.97E+01 8.73E+01",101,366,114,381
32,2.0166848103780493,"         114       99
363 7.00E+01 1.01E+02
401 8.64E+01 9.66E+01",114,401,99,363
33,2.016651250565664,"         101      114
363 9.52E+01 7.00E+01
398 9.02E+01 8.59E+01",101,363,114,398
34,2.0166037907141137,"         114       99
363 7.00E+01 1.01E+02
393 8.45E+01 9.46E+01",114,393,99,363
35,2.016536462894232,"         114       99
363 7.00E+01 1.01E+02
391 8.49E+01 9.50E+01",114,391,99,363
36,2.0163715630971324,"         101      114
363 9.52E+01 7.00E+01
383 9.07E+01 8.62E+01",101,363,114,383
37,2.016349270262135,"         114      128
261 7.36E+01 1.04E+02
384 8.73E+01 9.51E+01",114,384,128,261
38,2.016325599114084,"         114      128
366 7.01E+01 1.00E+02
383 8.62E+01 9.56E+01",114,383,128,366
39,2.016290318851931,"         114      128
363 7.00E+01 1.01E+02
401 8.64E+01 9.66E+01",114,401,128,363
40,2.016137313112915,"         104      114
261 1.02E+02 7.36E+01
305 8.65E+01 8.04E+01",104,261,114,305
41,2.0160895884013943,"         114      128
366 7.01E+01 1.00E+02
398 8.59E+01 9.55E+01",114,398,128,366
42,2.016050775724638,"         114       99
363 7.00E+01 1.01E+02
382 8.34E+01 9.38E+01",114,382,99,363
43,2.0160321636681195,"         114       99
366 7.01E+01 9.74E+01
381 8.73E+01 9.41E+01",114,381,99,366
44,2.015850975085274,"         114       99
363 7.00E+01 1.01E+02
392 8.33E+01 9.38E+01",114,392,99,363
45,2.0158150649546513,"         114       99
363 7.00E+01 1.01E+02
411 8.62E+01 9.70E+01",114,411,99,363
46,2.0158040375087904,"         114      128
363 7.00E+01 1.01E+02
393 8.45E+01 9.49E+01",114,393,128,363
47,2.0156903748803803,"         114      128
363 7.00E+01 1.01E+02
411 8.62E+01 9.68E+01",114,411,128,363
48,2.015674178373424,"         114       78
264 7.56E+01 1.10E+02
383 8.62E+01 9.76E+01",114,383,78,264
49,2.015622605797646,"         114       99
363 7.00E+01 1.01E+02
387 8.34E+01 9.41E+01",114,387,99,363
50,2.015620018000774,"         114       99
261 7.36E+01 1.02E+02
381 8.73E+01 9.41E+01",114,381,99,261
